SIRET,Délai d'attribution moyen,,,,,
200069532,13.4,,,,,
200069540,6.6,,,,,
200069565,6.9,,,,,
200069581,19.8,,,,,
200069599,19.6,,,,,
200069615,3.9,,,,,
200069623,6.9,,,,,
200069631,7.3,,,,,
200069649,12.2,,,,,
200069656,14.3,,,,,
200069664,3.5,,,,,
200069672,9.0,,,,,
200069698,5.6,,,,,
200069722,8.0,,,,,
200069730,7.9,,,,,
200069748,7.8,,,,,
200069755,13.2,,,,,
200069763,12.4,,,,,
200069821,11.4,,,,,
200069839,8.8,,,,,
200069847,8.4,,,,,
200069854,12.3,,,,,
200069912,6.5,,,,,
200069953,10.9,,,,,
200069961,6.6,,,,,
200069995,17.3,,,,,
200070035,8.1,,,,,
200070043,11.4,,,,,
200070068,8.3,,,,,
200070092,19.6,,,,,
200070100,8.4,,,,,
200070118,6.7,,,,,
200070126,5.1,,,,,
200070142,8.3,,,,,
200070159,7.6,,,,,
200070167,6.7,,,,,
200070183,9.2,,,,,
200070233,16.6,,,,,
200070282,7.9,,,,,
200070290,8.3,,,,,
200070308,9.7,,,,,
200070316,2.7,,,,,
200070324,6.1,,,,,
200070332,3.6,,,,,
200070340,5.3,,,,,
200070365,15.3,,,,,
200070373,7.2,,,,,
200070407,9.9,,,,,
200070431,6.9,,,,,
200070449,12.4,,,,,
200070464,7.5,,,,,
200070506,5.5,,,,,
200070514,9.5,,,,,
200070530,2.7,,,,,
200070548,3.4,,,,,
200070555,6.3,,,,,
200070563,7.6,,,,,
200070571,7.4,,,,,
200070589,12.7,,,,,
200070647,12.3,,,,,
200070662,13.7,,,,,
200070670,16.3,,,,,
200070688,11.5,,,,,
200070712,6.0,,,,,
200070720,18.8,,,,,
200070738,10.2,,,,,
200070746,5.7,,,,,
200070753,8.7,,,,,
200070761,3.8,,,,,
200070779,24.4,,,,,
200070787,4.3,,,,,
200070795,4.7,,,,,
200070803,4.4,,,,,
200070811,5.1,,,,,
200070845,11.2,,,,,
200070852,7.2,,,,,
200070894,8.9,,,,,
200070902,7.6,,,,,
200070910,6.9,,,,,
200070928,10.0,,,,,
200070936,9.1,,,,,
200070944,14.4,,,,,
200070951,8.0,,,,,
200070969,8.3,,,,,
200070977,9.4,,,,,
200070985,9.1,,,,,
200070993,13.1,,,,,
200071017,5.3,,,,,
200071025,5.7,,,,,
200071033,6.2,,,,,
200071041,4.3,,,,,
200071058,12.3,,,,,
200071066,6.2,,,,,
200071074,25.1,,,,,
200071082,6.0,,,,,
200071116,8.0,,,,,
200071140,6.5,,,,,
200071165,25.1,,,,,
200071173,5.2,,,,,
200071181,12.6,,,,,
200071199,8.2,,,,,
200071207,5.6,,,,,
200071215,7.5,,,,,
200071223,16.3,,,,,
200071298,13.2,,,,,
200071314,17.9,,,,,
200071363,8.6,,,,,
200071371,5.9,,,,,
200071389,6.3,,,,,
200071405,7.5,,,,,
200071413,7.2,,,,,
200071454,12.0,,,,,
200071470,3.7,,,,,
200071496,4.4,,,,,
200071504,6.1,,,,,
200071512,5.2,,,,,
200071520,5.4,,,,,
200071538,7.1,,,,,
200071546,42.1,,,,,
200071553,18.1,,,,,
200071579,5.1,,,,,
200071587,8.9,,,,,
200071595,5.8,,,,,
200071629,17.2,,,,,
200071645,1.9,,,,,
200071652,6.0,,,,,
200071678,15.3,,,,,
200071751,10.1,,,,,
200071769,5.8,,,,,
200071777,6.0,,,,,
200071785,6.4,,,,,
200071819,6.6,,,,,
200071827,11.3,,,,,
200071843,10.5,,,,,
200071850,9.0,,,,,
200071868,15.9,,,,,
200071876,13.3,,,,,
200071884,3.5,,,,,
200071892,7.5,,,,,
200071900,19.2,,,,,
200071918,14.8,,,,,
200071926,9.3,,,,,
200071934,15.4,,,,,
200071942,5.3,,,,,
200071967,13.1,,,,,
200071983,3.1,,,,,
200071991,6.8,,,,,
200072007,3.4,,,,,
200072015,8.0,,,,,
200072023,10.3,,,,,
200072031,11.4,,,,,
200072049,7.1,,,,,
200072056,4.8,,,,,
200072064,6.1,,,,,
200072072,7.8,,,,,
200072080,6.2,,,,,
200072098,7.0,,,,,
200072106,4.6,,,,,
200072130,36.1,,,,,
200072304,4.9,,,,,
200072312,14.3,,,,,
200072320,10.3,,,,,
200072346,24.0,,,,,
200072452,11.4,,,,,
200072460,12.1,,,,,
200072478,17.0,,,,,
200072544,21.8,,,,,
