,codgeo,taux_accueil_collectif,taux_accueil_individuel,taux_accueil_total,annee
515,85194,23.7,57.2,91.0,2022
516,87085,25.2,20.5,49.3,2022
517,89024,27.3,38.1,68.6,2022
518,90010,25.3,18.7,52.1,2022
519,91027,18.7,23.0,44.7,2022
520,91086,33.4,39.4,72.8,2022
521,91201,45.5,29.5,75.3,2022
522,91215,9.6,19.6,33.8,2022
523,91286,11.4,9.0,28.8,2022
524,91386,20.6,37.1,57.7,2022
525,91421,22.9,31.5,56.2,2022
526,91434,22.5,28.4,50.9,2022
527,91477,41.6,35.5,77.5,2022
528,91521,15.3,20.8,37.2,2022
529,91687,17.5,27.8,45.3,2022
530,92002,42.4,23.2,66.2,2022
531,92004,38.3,27.5,66.6,2022
532,92007,26.8,20.1,50.9,2022
533,92009,49.8,30.1,81.0,2022
534,92012,60.4,28.5,90.0,2022
535,92019,33.0,18.1,54.9,2022
536,92033,86.7,28.7,115.2,2022
537,92040,59.0,28.5,87.9,2022
538,92044,57.8,30.6,91.4,2022
539,92048,48.6,22.9,71.6,2022
540,92077,54.3,45.0,99.3,2022
541,92078,28.1,8.3,38.5,2022
542,93005,20.1,9.0,31.8,2022
543,93008,23.5,5.2,31.5,2022
544,93010,23.9,10.9,37.7,2022
545,93013,22.2,5.1,27.3,2022
546,93014,13.4,5.8,22.4,2022
547,93029,14.8,8.0,22.8,2022
548,93030,21.6,8.4,31.4,2022
549,93031,17.8,11.4,32.7,2022
550,93045,24.8,30.3,55.0,2022
551,93046,21.5,13.5,35.1,2022
552,93048,29.4,21.4,51.9,2022
553,93049,26.8,22.9,49.7,2022
554,93053,14.6,9.2,24.1,2022
555,93059,16.2,9.0,26.5,2022
556,93061,30.1,23.4,53.9,2022
557,93062,32.0,23.9,55.9,2022
558,93073,20.6,17.7,41.1,2022
559,93077,22.0,19.0,41.0,2022
560,93078,16.3,8.6,25.0,2022
561,93079,9.3,5.7,21.5,2022
562,94003,32.4,19.1,53.1,2022
563,94004,26.9,23.7,50.6,2022
564,94016,35.3,28.7,65.8,2022
565,94041,35.0,15.8,54.3,2022
566,94042,44.8,26.2,71.1,2022
567,94044,20.6,17.9,39.7,2022
568,94055,34.4,27.9,62.7,2022
569,94059,23.3,19.0,42.9,2022
570,94071,20.7,26.4,47.2,2022
571,94077,27.9,16.0,44.4,2022
572,95018,19.4,13.9,34.5,2022
573,95019,17.1,9.7,27.3,2022
574,95063,18.9,19.9,41.3,2022
575,95197,17.7,35.1,52.8,2022
576,95199,20.3,24.8,45.0,2022
577,95210,21.3,13.0,34.5,2022
578,95268,12.2,6.1,25.4,2022
579,95487,8.8,20.7,32.1,2022
580,95598,20.1,30.5,51.0,2022
581,97103,22.3,25.0,53.3,2022
582,97107,12.2,7.2,33.1,2022
583,97116,1.1,13.6,25.0,2022
584,97125,33.2,19.6,65.3,2022
585,97129,31.0,12.3,51.7,2022
586,97209,35.2,10.0,56.3,2022
587,97210,32.6,18.3,62.2,2022
588,97220,21.3,10.8,41.9,2022
589,97230,36.6,14.0,55.4,2022
590,97311,3.1,1.6,4.7,2022
591,97404,25.7,34.7,60.4,2022
592,97405,18.3,15.5,37.9,2022
593,97410,22.1,7.1,31.3,2022
594,97413,23.9,19.5,45.5,2022
595,97414,14.1,13.7,31.9,2022
596,97415,26.5,14.8,47.6,2022
597,97416,27.1,12.9,43.4,2022
598,97418,47.0,14.8,61.9,2022
3764,01004,19.4,53.2,72.8,2022
3765,01033,14.1,33.0,48.3,2022
3766,01053,30.9,23.6,58.1,2022
3767,01160,13.7,21.0,34.7,2022
3768,01173,20.9,28.5,49.3,2022
3769,02691,14.6,20.9,45.8,2022
3770,02722,20.0,24.9,50.1,2022
3771,03321,37.6,41.4,81.6,2022
3772,04112,28.5,18.3,50.7,2022
3773,05061,29.1,22.6,53.2,2022
3774,06004,23.8,32.8,57.0,2022
3775,06012,14.9,16.2,35.8,2022
3776,06030,26.4,21.4,48.9,2022
3777,06033,20.5,29.5,49.9,2022
3778,06104,37.4,17.7,57.8,2022
3779,06123,30.9,35.1,66.1,2022
3780,06149,22.1,26.1,51.5,2022
3781,06155,26.2,16.5,43.1,2022
3782,06157,29.9,17.6,49.4,2022
3783,07324,16.1,35.4,64.6,2022
3784,08409,22.3,13.7,49.1,2022
3785,10333,28.6,35.1,63.7,2022
3786,10387,23.0,15.3,43.8,2022
3787,11069,19.3,21.9,47.5,2022
3788,11206,25.0,23.2,58.6,2022
3789,12145,24.1,35.3,70.9,2022
3790,12176,20.8,38.9,69.3,2022
3791,13001,39.1,23.1,63.7,2022
3792,13005,23.0,23.9,48.8,2022
3793,13007,17.8,27.7,45.5,2022
