DEPCOM_ARM,LIBCOM_DEP,LIBCOM,nb_loues,nb_vacants,nb_vides,nb_asso,nb_occup_finan,nb_occup_temp,nb_ls
73286,Serrières-en-Chautagne (73),Serrières-en-Chautagne,60,0,0,0,0,0,60
73288,Sonnaz (73),Sonnaz,50,0,0,0,0,0,50
73289,La Table (73),La Table,11,0,1,0,0,0,12
73290,Val-Cenis (73),Val-Cenis,55,1,0,5,2,0,63
73292,Thénésol (73),Thénésol,,,,,,,8
73294,La Thuile (73),La Thuile,13,0,0,0,0,0,13
73296,Tignes (73),Tignes,319,2,0,1,88,0,410
73297,Tournon (73),Tournon,10,0,0,0,1,0,11
73298,Tours-en-Savoie (73),Tours-en-Savoie,24,1,0,0,1,0,26
73300,Tresserve (73),Tresserve,146,3,0,0,1,0,150
73302,La Trinité (73),La Trinité,,,,,,,2
73303,Ugine (73),Ugine,1316,21,20,0,16,0,1373
73304,Val-d'Isère (73),Val-d'Isère,155,0,0,0,8,0,163
73306,Valloire (73),Valloire,50,0,0,0,1,0,51
73307,Valmeinier (73),Valmeinier,33,0,0,1,0,0,34
73308,Venthon (73),Venthon,32,4,0,0,0,0,36
73309,Verel-de-Montbel (73),Verel-de-Montbel,,,,,,,5
73310,Verel-Pragondran (73),Verel-Pragondran,9,1,0,0,1,0,11
73312,Verrens-Arvey (73),Verrens-Arvey,17,0,0,0,0,0,17
73315,Villard-Léger (73),Villard-Léger,,,,,,,1
73317,Villard-sur-Doron (73),Villard-sur-Doron,24,0,0,0,0,0,24
73320,Villargondran (73),Villargondran,41,12,0,0,0,0,53
73326,Vimines (73),Vimines,22,0,0,0,0,0,22
73327,Vions (73),Vions,27,1,0,0,1,0,29
73328,Viviers-du-Lac (73),Viviers-du-Lac,99,0,3,0,2,0,104
73329,Voglans (73),Voglans,73,1,0,0,0,0,74
73330,Yenne (73),Yenne,229,9,0,0,3,0,241
74001,Abondance (74),Abondance,49,1,1,0,0,0,51
74002,Alby-sur-Chéran (74),Alby-sur-Chéran,235,2,0,0,0,0,237
74004,Allèves (74),Allèves,17,0,0,0,0,0,17
74005,Allinges (74),Allinges,93,1,1,0,0,0,95
